cod_fabricante,nom_fabricante,nom_red_fabric,nro_cnpj_fabricante
201,Hoechst Roussel Vet Ltda.,,
202,Idexx Laboratórios / Bio Brasil,,
203,Indústria Farmacêutica Vital Farma Ltda.,,
204,Indústria Gessy Lever Ltda. Divisão Diversey Lever,,
205,Indústria Quím. Farm. Schering-Plough S.A.,,
206,Instituto Butantã,,
207,Interchange Comércio Exterior Representações Ltda.,,
208,IRFA - Química e Biotecnologia Industrial Ltda.,,
209,IVA-Divisão Vet. da Champion Farmoquímico Ltda,,
210,Jofadel Indústria Farmacêutica S/A,,
211,Kirkegaard and Perry Laboratories / Biovida,,
212,Klüber Lubrification Lub. Esp. Ltda. e Cia.,,
213,Konig do Brasil Ltda.,,
214,Laboratório Bio-Vet S/A,,
215,Laboratório Bravet Ltda.,,
216,Laboratório Coopers,,
217,Laboratório Esser Ltda.,,
218,Laboratório Fama Ltda.,,
219,Laboratório Heaton Mersey Ltda.,,
220,Laboratório Hemopar (Daisy Menezes Arteche - ME),,
221,Laboratório Hertape S/A,,
222,Laboratório Ibasa Ltda.,,
223,Laboratório Microsules do Brasil Ltda.,,
224,Laboratório Perini S/A,,
225,Laboratório Pfizer Ltda.,,
226,Laboratório Prado S/A,,
227,Laboratório Prod. Quím. Veterinários Vigor Ltda.,,
228,Laboratório Silva Araújo Roussel S/A,,
229,Laboratório Simões Ltda.,,
230,Laboratório Vencofarma do Brasil Ltda.,,
231,Laboratório Veterinário Oriente Ltda.,,
232,Laboratório Vitafort Ind. Com. Prod. Veter. Ltda. ,,
233,Laborclin Produtos para Laboratório Ltda.,,
234,Labovet Produtos Veterinários Ltda.,,
235,Lavizoo - Laboratórios Vitamínicos e Zootécnicos,,
236,Leivas Leite S.A. Ind. Químicas e Biológicas,,
237,Lhinke Indústria de Cosméticos Ltda.,,
238,Marcolab Ind. Prods. Veterinários Ltda.,,
239,Marve - Marlene de Fátima Oliveira,,
240,Merial Saúde Animal Ltda.,,
1,Fort Dodge,,
241,Minerthal - Prod. Agropecuários Ltda.,,
242,Monsanto do Brasil Ltda.,,
243,Mosquito Indústria e Com. Prod. Químicos Ltda.,,
244,Naturelle Ind. e Comércio de Prods. Naturais Ltda.,,
245,Natuzzi Industrial Farmacêutica Ltda.,,
246,Nortox S.A.,,
247,Novartis Biociências S.A.,,
248,Pearson Saúde Animal Ltda.,,
249,Pecuarista D'Oeste de Araçatuba Ltda.,,
250,Pikapau - Produtos Químicos São Vicente,,
251,Pinus Produtos Químicos e Farmacêuticos Ltda.,,
252,Planalquímica Industrial Ltda.,,
253,Poly Sell Produtos Químicos Ltda.,,
254,Probion Indústria Medicamentos Veterinários Ltda.,,
255,Produtos Roche Químicos e Farmacêuticos S/A,,
256,Produtos Veterinários Manguinhos - Distriman,,
257,Produtos Veterinários Ouro Fino Ltda.,,
258,Química Diniz Ind. Comércio Ltda.,,
259,Química e Farmacêutica Nikkho do Brasil Ltda.,,
260,R.D.M. Química e Farmacêutica S/A,,
261,Ralston Purina do Brasil Ltda.,,
262,Sanebrás - Soc. Brasileira de Saneantes Ltda.,,
263,Sankomix Indústria e Comércio de Vitaminas Ltda.,,
264,Sanphar Chemocil Quím. e Farm. Ltda.,,
265,Serono Produtos Farmacêuticos Ltda.,,
266,Syntefarm do Brasil,,
267,Tortuga Companhia Zootécnica Agrária,,
268,UCI Farma Indústria Farmacêutica Ltda.,,
269,Ultrabrás Produtos Agropecuários Ltda.,,
270,União Química Farm. Nacional S/A,,
271,Univet S/A - Indústria Veterinária,,
272,Uzinas Chimicas Brasileiras S/A,,
273,Vallée S.A.,,
274,Vansil Indústria e Comércio e Representações Ltda.,,
275,Vet Life Produtos e Serviços Veterinários Ltda.,,
276,Vetnil Ind. e Com. de Produtos Veterinários Ltda.,,
342,Funny Pet,Funny Pet,
277,Virbac do Brasil Indústria e Comércio Ltda.,,
278,Yakult S.A. Indústria e Comércio,,
279,Zeneca Brasil Ltda.,,
280,Fort Dodge,,
157,Virbac,,
158,Merial,,
159,Pfizer,,
160,Intervet,,
161,A Química Santa Marina S/A,,
162,Action S/A,,
163,Agener Indústria e Comércio Ltda.,,
164,Agripec Química e Farmacêutica S/A,,
165,Agripharm Indústria e Comércio Ltda.,,
166,Agro Industrial  Catarinense Ltda.,,
167,Akzo Nobel Ltda / Div. Intervet,,
168,Al-Tech Comércio e Importação Ltda.,,
169,"Amicil S/A - Indústria, Comércio e Importação",,
170,Bayer S.A.,,
171,Biofarm Química e Farmacêutica Ltda.,,
172,Biomune / Bioimport Imp. Com. e Represent. Ltda.,,
173,Boehringer de Angeli Química e Farmacêutica Ltda.,,
174,Boivet Ind. Com. Prod. Veterinários Ltda.,,
175,Byk Química e Farmacêutica Ltda.,,
176,Centagro - Centro Tecnológico Agropecuário Ltda.,,
177,Chemitec Agro-Veterinária Ltda.,,
178,Ciquisa Farmacêutica Ltda.,,
179,Coveli Indústria e Comércio Ltda.,,
180,Defensa S.A.,,
181,Des-Vet Desenvolv. Prods. Farmac. e Vet. Ltda.,,
182,Dispec Brasil Ind. Com. Prod. Agropecuários Ltda.,,
183,Ecovet Indústria Veterinária Ltda.,,
184,EdVet Hd Com. Import. Export. Ltda.,,
185,Eli Lilly do Brasil - Divisão Elanco Saúde Animal,,
186,Embrasvet - Empresa Brasileira Veterinária Ltda.,,
187,Enerquímica Produtos Químicos energia Ltda.,,
188,Equide Com. Ind. Prod. Agropecuários Ltda.,,
189,Eurofarma Laboratórios Ltda.,,
190,Farmabase Saúde Animal Ltda.,,
191,Farmagrícola S/A Exportação e Importação,,
192,Farmaquim Comércio e Representações Ltda.,,
193,Farmavet Prod. Veterinários Ltda.,,
194,Fatec S/A,,
281,OUROFINO SAUDE ANIMAL LTDA,OUROFINO SAUDE ANIMA,
282,SYNTEX IND. BIOQUIMICA & FARM. S.A.,SYNTEX IND. BIOQUIMI,
283,Lema bioLOGIC do Brasil Ltda,Lema bioLOGIC do Bra,
284,Mantecorp Ind. Quim. e Farm. Ltda,Mantecorp Ind. Quim.,
285,JR Veterinaria Ltda,JR Veterinaria Ltda,
286,Montesano Ind e Com de Prod. Quim. Ltda,Montesano Ind e Com,
287,Copeli Cosmeticos  e Perfumes Ltda,Copeli Cosmeticos  e,
288,ANIMALISSIMO COMERCIAL LTDA,ANIMALISSIMO COMERCI,
289,Cassiopedia Ind e Com Ltda,Cassiopedia Ind e Co,
290,Ind e Com de Alimentos Desidratados Alcon Ltda,Ind e Com de Aliment,
291,ARTETE LTDA,ARTETE LTDA,
292,GENIAL QUIMICA VETERINARIA LTDA EPP,GENIAL QUIMICA VETER,
293,Natural D Gaia Exp. Ind e Com de Cosmeticos LTDA,Natural D Gaia Exp.,
294,PETMINATO IND E COM LTDA - EPP,PETMINATO IND E COM,
295,FLEXICOTTON IND E COM PROD HIG PESSOAL S.A.,FLEXICOTTON IND E CO,
296,COMERCIAL REGON LTDA,COMERCIAL REGON LTDA,
297,ZOOTEKNA PESQUISA E NUTRIÇÃO ANIMAL LTDA,ZOOTEKNA PESQUISA E,
298,Forte Ind. de Nutrição Animal Ltda,Forte Ind. de Nutriç,
299,Royal Pet Food C.A.R.A Ltda,Royal Pet Food C.A.R,
300,GRANPET,GRANPET,
301,Pra Bicho Ind. e Com. Ltda,Pra Bicho Ind. e Com,
302,SÃO PET,SÃO PET,
303,Cardeal Ind. e Com. Alimentos Ltda,Cardeal Ind. e Com.,
304,TOTAL ALIMENTOS S.A,TOTAL ALIMENTOS S.A,
305,PROBOM LTDA,PROBOM LTDA,
306,Procter & Gamble,Procter & Gamble,
307,DOGS CARE,DOGS CARE,
308,ARRAYANES PROD. HIG. IND. E COM. LTDA,ARRAYANES PROD. HIG.,
309,MULT TOYS,MULT TOYS,
310,"HILL´S PET NUTRITION, INC.",HILL´S PET NUTRITION,
311,Masterfoods Brasil Alimentos Ltda,Masterfoods Brasil A,
312,Laboarma Lab. e Com. de Prod. Veterinarios Ltda,Laboarma Lab. e Com.,
313,MARS AUSTRIA,MARS AUSTRIA,
314,BILDSAN,BILDSAN,
315,MY PET,MY PET,
316,CHRISTINO,CHRISTINO,
317,STEFANPLAST,STEFANPLAST,
318,BABY - ZOO,BABY - ZOO,
319,Alvan Distribuidora Pet,Alvan Distribuidora,
320,Lider Ind. e Com. de Brinq. Ltda,Lider Ind. e Com. de,
321,CANINE HARDWARE INC.,CANINE HARDWARE INC.,
322,Comercial Affonso,Comercial Affonso,
323,Polymer Ind Com Ltda,Polymer Ind Com Ltda,
324,CHUCKIT,CHUCKIT,
325,Marche Pet Ind. Com. Plast. Ltda,Marche Pet Ind. Com.,
326,Felital Com. Art. Plast. Borr. Ltda - Me,Felital Com. Art. Pl,
327,SAMYS COM,SAMYS COM,
328,ChaserBall,ChaserBall,
329,Alvorada,Alvorada,
330,Western Pet,Western Pet,
331,Furacão Pet,Furacão Pet,
332,A. L. DUARTE ARAMADOS ME,A. L. DUARTE ARAMADO,
333,WOOF PET DESIGN,WOOF PET DESIGN,
334,LYU LYU,LYU LYU,
335,MEU BICHO,MEU BICHO,
336,Marshall Pet Products Inc,Marshall Pet Product,
337,FOFIXOS,FOFIXOS,
338,KANINUS,KANINUS,
339,DOGS LIFE,DOGS LIFE,
340,Grottera Com de Prod. Pet - ME,Grottera Com de Prod,
341,SUPER PET,SUPER PET,
343,PEPPERMINT,PEPPERMINT,
344,CAMAS DE LUXO,CAMAS DE LUXO,
345,ERIKA LAÇOS,ERIKA LAÇOS,
346,INÊS,INÊS,
347,ColDog,ColDog,
348,Secullus Ind. e Com. de Art. de Couros Ltda. EPP,Secullus Ind. e Com.,
349,BUGABILL,BUGABILL,
350,PICKORRUCHOS,PICKORRUCHOS,
351,COMAC,COMAC,
352,Pet Star Acessorios,Pet Star Acessorios,
353,ZETAVET,ZETAVET,
354,PETGOUP,PETGOUP,
355,Amor de PET,Amor de PET,
356,BRACANNES,BRACANNES,
357,Goglobal Com. Imp. Exp. Ltda,Goglobal Com. Imp. E,
358,Lidera Com. Ltda,Lidera Com. Ltda,
359,DOG & HOME,DOG & HOME,
360,PetShine,PetShine,
361,BIJU,BIJU,
362,PET FLEX,PET FLEX,
363,Santoro Com. de Rações Ltda,Santoro Com. de Raçõ,
364,MUNDIAL & CIA,MUNDIAL & CIA,
365,Lilidogs Acess. Pet Ltda. - EPP,Lilidogs Acess. Pet,
366,Petco Animal,Petco Animal,
367,MEGAVET COMERCIO DISTRIB.LTDA,MEGAVET,
368,NINNA-AU DOG FASHION,NINNA-AU,
369,GREEN PET CARE BRASIL,GREEN,
370,SMART PET,SMART PET,
371,MR PET,MR PET,
372,AGENER,,
373,AVERTIS,,
374,SAFEPAK,SAFEPAK,
375,EXPERT COMERCIAL EIRELI,EXPERT COMERCIAL EIR,
376,FARMINA PET FOODS DO BRASIL,VET-LIFE,
377,EXPERT COMERCIAL EIRELI-ME,EXPERT,
