cod_tab_preco,nom_tab_preco,ind_ajuste,perc_ajuste,ind_tab_padrao,perc_urgencia,cod_unid_oper,cod_unid_negoc,ind_situacao,cod_tab_desc_progres,ind_aceita_bonus,ind_plano_saude,cod_produto,dat_vigencia,vlr_produto,vlr_prod_urg,vlr_cus_prod,vlr_cus_medio,perc_mrg_lucro,vlr_desc_comis,vlr_desc_apoio,vlr_prod_complementar,vlr_ultima_compra
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11920,2021-02-03,138.0,138.0,74.1,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11742,2021-02-03,240.0,240.0,124.31,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11405,2021-02-03,62.0,62.0,32.12,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,6565,2021-02-03,138.0,138.0,76.69,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,6566,2021-02-03,89.0,89.0,46.16,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11148,2021-02-03,65.0,65.0,33.94,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11903,2021-02-03,134.0,134.0,72.8,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11922,2021-02-03,240.73,240.73,240.73,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11326,2021-02-03,48.0,48.0,24.1,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11425,2021-02-03,30.0,30.0,15.74,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11923,2021-02-03,14.0,14.0,12.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11921,2021-02-03,19.77,19.77,19.77,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11891,2021-02-03,174.0,174.0,75.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11890,2021-02-03,174.0,174.0,78.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11924,2021-02-03,277.0,277.0,277.0,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,9369,2021-02-03,48.0,48.0,12.7,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,9548,2021-02-03,0.0,0.0,0.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,10223,2021-02-03,1.0,1.0,0.0,,,0.0,0.0,,
