cod_especie,nom_especie,nom_popular,nom_familia,cod_especie_imp,num_hematocrito_esp,nom_ingles,ind_especie,cod_raca,nom_raca,ind_ani_silvestre,ind_porte,cod_pelagem,tip_pelagem
1,CANINA,CANINA,CANINA,,,CANINE,OU,322,POINTER ALEMÃO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,321,POINTER INGLÊS,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,10,POODLE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,319,POODLE STANDARD,N,,,
18,ROEDOR,ROEDOR,,,,RAT,OU,184,PORQUINHO DA INDIA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,85,PUG,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,247,PULI,N,,,
5,EQUINA,EQUINA,,,,EQUINE,OU,60,PURO SANGUE INGLÊS,N,,,
4,EQUINO DE TRAÇÃO ,EQUINO DE TRAÇÃO ,,,,EQUINE,OU,282,PURO SANGUE LUSITANO,N,,,
5,EQUINA,EQUINA,,,,EQUINE,OU,62,QUARTO DE MILHA,N,,,
11,QUATI ( NASUA NASUA),QUATI ( NASUA NASUA),,,,,OU,268,QUATI,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,176,RAG DOLL,N,,,
18,ROEDOR,ROEDOR,,,,RAT,OU,281,RATO DE LABORATÓRIO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,138,RED HELLER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,91,RHODESIAN RIDGEBACK,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,27,ROTTWEILER,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,230,RUSSIAN BLUE,N,,,
7,CAPRINA,CAPRINA,,,,CAPRINE,OU,175,SAANEN,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,52,SAGRADO DA BIRMANIA,N,,,
19,PRIMATA,PRIMATA,,,,PRIMATE,OU,174,SAGUI,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,132,SALUKI,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,101,SAMOYEDA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,33,SAO BERNARDO,N,,,
9,REPTIL,REPTIL,,,,REPTILE,OU,12,SAPO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,164,SCHNAUZER GIGANTE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,22,SCHNAUZER MÉDIO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,412,SCOTTISH STRAIGHT,N,P,,C
2,FELINA,FELINA,FELINA,,,FELINE,OU,412,SCOTTISH STRAIGHT,N,P,,C
1,CANINA,CANINA,CANINA,,,CANINE,OU,28,SCOTTISH TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,104,SEALEHAN TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,142,SERRA DA ESTRELA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,79,SETTER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,178,SETTER GORDON,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,177,SETTER INGLÊS,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,159,SETTER IRLANDES,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,23,SHARPEI,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,408,SHEEP DOG,N,G,273.0,M
1,CANINA,CANINA,CANINA,,,CANINE,OU,313,SHETLAND SHEEPDOG,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,84,SHIBA-INU,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,59,SHIH-TZU,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,11,SIAMES,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,193,SIBERIANO DA FLORESTA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,106,SILK TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,215,SKYE TERRIER,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,259,SOMALI,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,127,SPANIEL TIBETANO,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,240,SPHYNX,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,162,SPITZ ALEMÃO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,308,SPITZ JAPONÊS,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,74,SPRINGER SPANIEL INGLÊS,N,,,
3,BOVINA,BOVINA,BOVINA,,,BOVINE,OU,4,SRD BOVINO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,2,SRD CANINO,N,,,
7,CAPRINA,CAPRINA,,,,CAPRINE,OU,199,SRD CAPRINO,N,,,
4,EQUINO DE TRAÇÃO ,EQUINO DE TRAÇÃO ,,,,EQUINE,OU,278,SRD EQUINA,N,,,
5,EQUINA,EQUINA,,,,EQUINE,OU,278,SRD EQUINA,N,,,
4,EQUINO DE TRAÇÃO ,EQUINO DE TRAÇÃO ,,,,EQUINE,OU,65,SRD EQUINO,N,,,
5,EQUINA,EQUINA,,,,EQUINE,OU,65,SRD EQUINO,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,3,SRD FELINO,N,,,
8,OVINO,OVINO,,,,,OU,207,SRD OVINO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,226,STAFFORDSHIRE BULL TERRIER,N,,,
6,SUINO,SUINO,,,,SWINE,OU,214,SUINO,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,139,TABBY SHORTHAIR,N,,,
20,QUELÔNIO,QUELÔNIO,,,,,OU,279,TARTARUGA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,45,TECKEL,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,411,TEIÚ,S,P,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,135,TENERIFF,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,141,TERRA NOVA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,169,TERVUREN (PASTOR BELGA),N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,160,TIBETAN TERRIER,N,,,
7,CAPRINA,CAPRINA,,,,CAPRINE,OU,224,TOGGENBURG,N,,,
